Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Team
73,Kyle Walker,eng ENG,DF,33-302,26,25,2260.0,25.1,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.3,2.7,65.0,139.0,151.0,0.0,0.08,0.08,0.0,0.08,0.02,0.09,0.11,0.02,0.11,Manchester City
74,Rodri,es ESP,MF,27-277,25,25,2166.0,24.1,6.0,5.0,11.0,6.0,0.0,0.0,8.0,1.0,3.3,3.3,2.6,5.8,61.0,264.0,46.0,0.25,0.21,0.46,0.25,0.46,0.14,0.11,0.24,0.14,0.24,Manchester City
75,Erling Haaland,no NOR,FW,23-248,23,22,1922.0,21.4,18.0,5.0,23.0,15.0,3.0,4.0,1.0,0.0,20.9,17.8,3.8,21.6,22.0,18.0,93.0,0.84,0.23,1.08,0.7,0.94,0.98,0.18,1.16,0.83,1.01,Manchester City
76,Rúben Dias,pt POR,DF,26-316,23,21,1929.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.2,1.3,30.0,132.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Manchester City
77,Bernardo Silva,pt POR,"MF,FW",29-228,24,21,1897.0,21.1,6.0,4.0,10.0,6.0,0.0,0.0,7.0,0.0,2.9,2.9,5.6,8.5,110.0,136.0,190.0,0.28,0.19,0.47,0.28,0.47,0.14,0.26,0.4,0.14,0.4,Manchester City
78,Nathan Aké,nl NED,DF,29-036,23,19,1727.0,19.2,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.6,1.6,1.2,2.9,23.0,102.0,17.0,0.1,0.1,0.21,0.1,0.21,0.09,0.06,0.15,0.09,0.15,Manchester City
79,Manuel Akanji,ch SUI,"DF,MF",28-250,20,19,1676.0,18.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,1.0,0.9,0.9,0.2,1.1,33.0,93.0,21.0,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,Manchester City
80,Joško Gvardiol,hr CRO,DF,22-062,18,16,1473.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.9,1.8,39.0,80.0,70.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Manchester City
81,Jeremy Doku,be BEL,"FW,MF",21-303,20,14,1199.0,13.3,2.0,5.0,7.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,3.4,4.8,166.0,45.0,221.0,0.15,0.38,0.53,0.15,0.53,0.11,0.25,0.36,0.11,0.36,Manchester City
82,John Stones,eng ENG,"DF,MF",29-302,14,11,952.0,10.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.2,1.2,15.0,50.0,20.0,0.09,0.0,0.09,0.09,0.09,0.1,0.02,0.12,0.1,0.12,Manchester City
83,Mateo Kovačić,hr CRO,MF,29-324,20,10,971.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.8,1.2,1.9,28.0,70.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.11,0.18,0.07,0.18,Manchester City
84,Jack Grealish,eng ENG,FW,28-197,14,7,707.0,7.9,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.9,1.9,2.1,4.0,55.0,29.0,87.0,0.38,0.13,0.51,0.38,0.51,0.24,0.27,0.51,0.24,0.51,Manchester City
85,Matheus Nunes,pt POR,"MF,FW",25-211,11,6,505.0,5.6,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.0,1.4,21.0,24.0,47.0,0.0,0.36,0.36,0.0,0.36,0.06,0.18,0.25,0.06,0.25,Manchester City
86,Kevin De Bruyne,be BEL,MF,32-271,9,6,493.0,5.5,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,5.2,6.3,24.0,52.0,61.0,0.18,0.91,1.1,0.18,1.1,0.19,0.95,1.14,0.19,1.14,Manchester City
87,Rico Lewis,eng ENG,"MF,DF",19-125,10,5,454.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,7.0,12.0,17.0,0.2,0.0,0.2,0.2,0.2,0.06,0.09,0.15,0.06,0.15,Manchester City
88,Stefan Ortega,de GER,GK,31-140,3,1,208.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City
89,Oscar Bobb,no NOR,"FW,MF",20-257,9,1,180.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.3,1.3,0.9,2.2,9.0,18.0,29.0,0.5,0.5,1.0,0.5,1.0,0.64,0.47,1.11,0.64,1.11,Manchester City
