Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Team
89,Leon Bailey,jm JAM,"MF,FW",26-229,16.6,7,3,3,2,2,3,12,25.0,9,12,1,11,8,15,5,0,Aston Villa
90,Diego Carlos,br BRA,DF,31-010,13.0,17,12,13,3,1,7,13,53.8,6,13,10,3,10,27,48,2,Aston Villa
91,Clément Lenglet,fr FRA,DF,28-282,10.8,10,8,5,5,0,6,9,66.7,3,15,7,8,6,16,41,1,Aston Villa
92,Youri Tielemans,be BEL,"MF,FW",26-323,12.7,30,16,13,13,4,12,28,42.9,16,18,1,17,9,39,4,0,Aston Villa
93,Álex Moreno,es ESP,DF,30-291,10.4,16,12,16,0,0,10,16,62.5,6,9,2,7,12,28,33,0,Aston Villa
94,Jacob Ramsey,eng ENG,"MF,FW",22-302,9.5,16,8,7,6,3,5,15,33.3,10,15,2,13,3,19,8,0,Aston Villa
95,Nicolò Zaniolo,it ITA,"MF,FW",24-267,6.9,12,5,6,4,2,5,11,45.5,6,13,0,13,1,13,9,0,Aston Villa
96,Jhon Durán,co COL,"FW,MF",20-103,2.6,3,3,1,1,1,0,3,0.0,3,3,0,3,0,3,7,0,Aston Villa
97,Morgan Rogers,eng ENG,MF,21-243,1.4,1,0,0,0,1,1,3,33.3,2,3,0,3,0,1,5,0,Aston Villa
98,Leander Dendoncker,be BEL,MF,28-345,1.3,6,4,3,2,1,4,5,80.0,1,5,2,3,2,8,3,1,Aston Villa
99,Robin Olsen,se SWE,GK,34-077,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
100,Tyrone Mings,eng ENG,DF,31-012,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Aston Villa
101,Tim Iroegbunam,eng ENG,MF,20-269,0.7,3,3,1,1,1,1,3,33.3,2,2,0,2,1,4,1,0,Aston Villa
102,Calum Chambers,eng ENG,DF,29-065,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Aston Villa
103,Philippe Coutinho,br BRA,"MF,FW",31-287,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Aston Villa
104,Bertrand Traoré,bf BFA,"DF,FW",28-201,0.1,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Aston Villa
105,Cameron Archer,eng ENG,MF,22-248,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
106,Jaden Philogene Bidace,eng ENG,FW,22-046,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Aston Villa
107,Guglielmo Vicario,it ITA,GK,27-170,28.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,26,2,Tottenham
108,Pedro Porro,es ESP,DF,24-194,25.0,71,50,35,22,14,47,92,51.1,45,50,14,36,23,94,79,2,Tottenham
109,Dejan Kulusevski,se SWE,"FW,MF",23-335,24.5,47,24,15,16,16,18,49,36.7,31,16,1,15,12,59,2,1,Tottenham
110,Son Heung-min,kr KOR,FW,31-261,23.0,15,9,5,5,5,7,16,43.8,9,3,1,2,7,22,4,0,Tottenham
111,Destiny Udogie,it ITA,DF,21-118,22.6,63,29,39,15,9,25,46,54.3,21,23,6,17,34,97,70,4,Tottenham
112,Cristian Romero,ar ARG,DF,25-333,21.0,48,32,30,17,1,23,30,76.7,7,30,13,17,34,82,77,1,Tottenham
113,Pape Matar Sarr,sn SEN,MF,21-193,16.5,26,18,9,13,4,12,27,44.4,15,14,4,10,17,43,18,0,Tottenham
114,Yves Bissouma,ml MLI,MF,27-208,17.2,62,40,26,28,8,32,46,69.6,14,23,5,18,29,91,36,3,Tottenham
115,Micky van de Ven,nl NED,DF,22-341,17.0,31,22,22,6,3,15,21,71.4,6,12,9,3,13,44,55,0,Tottenham
116,James Maddison,eng ENG,MF,27-123,16.2,24,12,3,12,9,12,23,52.2,11,11,2,9,9,33,7,1,Tottenham
117,Richarlison,br BRA,FW,26-320,15.1,16,11,4,8,4,2,9,22.2,7,32,6,26,8,24,21,0,Tottenham
118,Brennan Johnson,wls WAL,FW,22-307,14.2,19,12,12,3,4,10,24,41.7,14,24,0,24,6,25,12,1,Tottenham
119,Ben Davies,wls WAL,DF,30-336,11.1,21,17,13,6,2,15,18,83.3,3,16,14,2,10,31,33,0,Tottenham
120,Emerson,br BRA,DF,25-071,10.7,31,21,19,9,3,19,35,54.3,16,17,8,9,18,49,45,1,Tottenham
121,Rodrigo Bentancur,uy URU,MF,26-274,5.9,14,8,9,3,2,6,14,42.9,8,9,2,7,5,19,11,0,Tottenham
122,Pierre Højbjerg,dk DEN,MF,28-233,11.3,23,13,8,13,2,10,28,35.7,18,19,7,12,14,37,27,1,Tottenham
123,Timo Werner,de GER,FW,28-019,4.9,3,1,2,1,0,2,8,25.0,6,1,0,1,3,6,0,0,Tottenham
124,Oliver Skipp,eng ENG,"MF,FW",23-191,6.5,15,10,7,5,3,8,14,57.1,6,11,1,10,1,16,7,0,Tottenham
125,Giovani Lo Celso,ar ARG,MF,27-351,4.7,16,8,6,7,3,7,10,70.0,3,3,1,2,4,20,2,0,Tottenham
126,Manor Solomon,il ISR,FW,24-245,2.2,3,3,1,1,1,1,2,50.0,1,4,0,4,3,6,2,0,Tottenham
127,Bryan Gil,es ESP,"FW,MF",23-043,2.2,1,0,0,0,1,1,3,33.3,2,3,0,3,3,4,4,0,Tottenham
128,Eric Dier,eng ENG,DF,30-070,2.2,2,1,2,0,0,2,2,100.0,0,3,3,0,2,4,12,0,Tottenham
129,Radu Drăgușin,ro ROU,DF,22-051,1.6,0,0,0,0,0,0,0,,0,4,4,0,5,5,9,0,Tottenham
130,Ivan Perišić,hr CRO,FW,35-052,1.1,3,2,1,1,1,3,5,60.0,2,1,0,1,2,5,1,0,Tottenham
131,Davinson Sánchez,co COL,DF,27-287,0.9,0,0,0,0,0,0,0,,0,3,2,1,1,1,2,0,Tottenham
132,Alejo Véliz,ar ARG,FW,20-188,0.6,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Tottenham
133,Jamie Donley,eng ENG,FW,19-082,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Tottenham
134,Dane Scarlett,eng ENG,FW,20-001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Tottenham
135,André Onana,cm CMR,GK,27-358,28.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,9,1,Manchester Utd
136,Bruno Fernandes,pt POR,"MF,FW",29-199,27.0,56,33,22,20,14,26,77,33.8,51,35,4,31,20,76,36,1,Manchester Utd
137,Diogo Dalot,pt POR,DF,25-007,25.3,56,36,41,8,7,35,48,72.9,13,34,12,22,27,83,84,0,Manchester Utd
138,Marcus Rashford,eng ENG,FW,26-146,22.1,16,9,8,3,5,7,24,29.2,17,12,1,11,4,20,14,0,Manchester Utd
139,Alejandro Garnacho,ar ARG,FW,19-268,19.6,16,11,5,4,7,8,35,22.9,27,21,1,20,13,29,18,0,Manchester Utd
140,Rasmus Højlund,dk DEN,FW,21-050,16.3,9,5,2,2,5,4,11,36.4,7,3,0,3,1,10,11,0,Manchester Utd
141,Casemiro,br BRA,MF,32-031,13.1,50,29,22,22,6,30,63,47.6,33,47,17,30,11,61,40,0,Manchester Utd
142,Scott McTominay,sct SCO,"MF,FW",27-108,16.4,40,19,18,20,2,16,26,61.5,10,27,10,17,11,51,40,0,Manchester Utd
143,Raphaël Varane,fr FRA,DF,30-335,14.0,17,10,9,7,1,9,13,69.2,4,16,13,3,14,31,84,0,Manchester Utd
144,Kobbie Mainoo,eng ENG,MF,18-341,12.3,24,15,9,11,4,9,21,42.9,12,13,8,5,13,37,25,1,Manchester Utd
145,Victor Lindelöf,se SWE,DF,29-252,14.0,14,9,7,7,0,5,12,41.7,7,15,8,7,11,25,34,1,Manchester Utd
146,Harry Maguire,eng ENG,DF,31-020,12.9,16,11,9,7,0,8,16,50.0,8,26,18,8,19,35,52,1,Manchester Utd
147,Jonny Evans,nir NIR,DF,36-082,12.1,12,7,10,2,0,9,16,56.3,7,19,14,5,17,29,65,0,Manchester Utd
148,Luke Shaw,eng ENG,DF,28-257,10.7,11,8,7,3,1,9,15,60.0,6,18,11,7,6,17,39,0,Manchester Utd
149,Antony,br BRA,FW,24-030,10.6,28,14,10,12,6,16,30,53.3,14,20,1,19,8,36,6,0,Manchester Utd
150,Aaron Wan-Bissaka,eng ENG,DF,26-120,9.8,25,19,12,11,2,16,22,72.7,6,14,8,6,20,45,38,1,Manchester Utd
151,Christian Eriksen,dk DEN,MF,32-040,9.9,14,12,4,7,3,8,27,29.6,19,14,5,9,3,17,10,0,Manchester Utd
152,Sofyan Amrabat,ma MAR,"MF,DF",27-217,7.1,23,15,14,7,2,16,25,64.0,9,12,3,9,5,28,12,2,Manchester Utd
153,Lisandro Martínez,ar ARG,DF,26-067,6.2,11,7,8,3,0,5,12,41.7,7,9,7,2,4,15,21,0,Manchester Utd
154,Anthony Martial,fr FRA,FW,28-111,5.0,4,1,1,1,2,1,1,100.0,0,4,0,4,0,4,3,0,Manchester Utd
155,Sergio Reguilón,es ESP,DF,27-100,4.6,13,8,6,2,5,8,17,47.1,9,10,0,10,5,18,7,0,Manchester Utd
156,Mason Mount,eng ENG,MF,25-075,4.4,16,10,4,7,5,3,12,25.0,9,5,1,4,3,19,1,0,Manchester Utd
157,Facundo Pellistri,uy URU,"FW,MF",22-096,1.9,5,3,4,1,0,1,3,33.3,2,7,1,6,1,6,5,0,Manchester Utd
158,Hannibal Mejbri,tn TUN,"MF,FW",21-064,1.5,3,3,1,2,0,1,3,33.3,2,1,1,0,0,3,0,0,Manchester Utd
159,Willy Kambwala,fr FRA,DF,19-213,1.2,1,0,0,1,0,1,2,50.0,1,1,1,0,0,1,4,0,Manchester Utd
160,Omari Forson,eng ENG,FW,19-249,0.7,2,0,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Manchester Utd
161,Jadon Sancho,eng ENG,"FW,MF",24-000,0.9,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,0,0,Manchester Utd
162,Amad Diallo,ci CIV,FW,21-258,0.5,3,1,0,2,1,1,1,100.0,0,0,0,0,0,3,0,0,Manchester Utd
163,Donny van de Beek,nl NED,DF,26-342,0.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Manchester Utd
164,Daniel Gore,eng ENG,MF,19-181,0.0,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,Manchester Utd
165,Jarrod Bowen,eng ENG,FW,27-096,28.0,34,21,12,11,11,11,30,36.7,19,30,5,25,17,51,14,0,West Ham
166,Vladimír Coufal,cz CZE,DF,31-216,26.6,52,35,42,8,2,32,57,56.1,25,32,9,23,36,88,80,0,West Ham
167,James Ward-Prowse,eng ENG,MF,29-145,26.0,34,23,12,17,5,12,29,41.4,17,23,7,16,29,63,42,0,West Ham
168,Emerson Palmieri,it ITA,DF,29-235,26.2,78,52,33,33,12,42,62,67.7,20,35,8,27,31,109,74,0,West Ham
169,Alphonse Areola,fr FRA,GK,31-027,25.5,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,13,0,West Ham
170,Tomáš Souček,cz CZE,MF,29-027,24.8,36,26,14,20,2,15,35,42.9,20,41,23,18,33,69,80,0,West Ham
171,Kurt Zouma,fr FRA,DF,29-150,23.2,14,10,8,6,0,4,7,57.1,3,29,20,9,21,35,120,0,West Ham
172,Edson Álvarez,mx MEX,MF,26-153,21.9,65,32,40,21,4,25,50,50.0,25,48,18,30,31,96,72,0,West Ham
173,Lucas Paquetá,br BRA,"FW,MF",26-211,20.4,52,37,27,20,5,21,42,50.0,21,23,0,23,15,67,21,1,West Ham
174,Nayef Aguerd,ma MAR,DF,27-361,19.6,23,12,17,6,0,14,19,73.7,5,31,23,8,17,40,82,2,West Ham
175,Kudus Mohammed,gh GHA,"FW,MF",23-236,18.7,45,34,17,20,8,18,30,60.0,12,21,0,21,5,50,7,1,West Ham
176,Michail Antonio,jm JAM,FW,33-363,11.4,10,6,3,4,3,3,7,42.9,4,12,3,9,2,12,1,0,West Ham
177,Konstantinos Mavropanos,gr GRE,DF,26-105,12.0,22,12,12,8,2,13,16,81.3,3,16,8,8,20,42,62,1,West Ham
