Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Team
94,Jacob Ramsey,eng ENG,"MF,FW",22-302,9.5,29,3.06,23,2,1,2,0,1,3,0.32,2,1,0,0,0,0,Aston Villa
95,Nicolò Zaniolo,it ITA,"MF,FW",24-267,6.9,23,3.35,15,0,2,4,1,1,2,0.29,2,0,0,0,0,0,Aston Villa
96,Jhon Durán,co COL,"FW,MF",20-103,2.6,7,2.74,3,0,1,1,1,1,3,1.17,0,0,1,0,1,1,Aston Villa
97,Morgan Rogers,eng ENG,MF,21-243,1.4,6,4.39,4,0,1,0,1,0,1,0.73,0,0,0,0,1,0,Aston Villa
98,Leander Dendoncker,be BEL,MF,28-345,1.3,2,1.51,1,0,0,0,1,0,1,0.76,0,0,0,0,1,0,Aston Villa
99,Robin Olsen,se SWE,GK,34-077,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
100,Tyrone Mings,eng ENG,DF,31-012,0.3,2,6.0,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Aston Villa
101,Tim Iroegbunam,eng ENG,MF,20-269,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
102,Calum Chambers,eng ENG,DF,29-065,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
103,Philippe Coutinho,br BRA,"MF,FW",31-287,0.3,2,7.2,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
104,Bertrand Traoré,bf BFA,"DF,FW",28-201,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
105,Cameron Archer,eng ENG,MF,22-248,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
106,Jaden Philogene Bidace,eng ENG,FW,22-046,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Aston Villa
107,Guglielmo Vicario,it ITA,GK,27-170,28.0,1,0.04,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
108,Pedro Porro,es ESP,DF,24-194,25.0,82,3.29,47,24,2,5,4,0,11,0.44,8,3,0,0,0,0,Tottenham
109,Dejan Kulusevski,se SWE,"FW,MF",23-335,24.5,106,4.32,86,1,8,9,0,2,8,0.33,6,0,1,0,0,1,Tottenham
110,Son Heung-min,kr KOR,FW,31-261,23.0,87,3.78,70,0,9,5,2,1,13,0.56,9,0,3,0,1,0,Tottenham
111,Destiny Udogie,it ITA,DF,21-118,22.6,50,2.22,44,0,4,2,0,0,7,0.31,6,0,0,1,0,0,Tottenham
112,Cristian Romero,ar ARG,DF,25-333,21.0,25,1.19,21,2,0,1,0,1,1,0.05,1,0,0,0,0,0,Tottenham
113,Pape Matar Sarr,sn SEN,MF,21-193,16.5,42,2.55,33,0,0,3,2,4,7,0.42,6,0,0,1,0,0,Tottenham
114,Yves Bissouma,ml MLI,MF,27-208,17.2,33,1.92,25,1,3,0,0,4,2,0.12,2,0,0,0,0,0,Tottenham
115,Micky van de Ven,nl NED,DF,22-341,17.0,6,0.35,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
116,James Maddison,eng ENG,MF,27-123,16.2,114,7.03,74,16,7,6,8,3,15,0.92,9,1,2,1,1,1,Tottenham
117,Richarlison,br BRA,FW,26-320,15.1,30,1.99,21,0,3,4,1,1,4,0.27,4,0,0,0,0,0,Tottenham
118,Brennan Johnson,wls WAL,FW,22-307,14.2,40,2.82,30,0,2,4,3,1,8,0.56,6,0,0,1,0,1,Tottenham
119,Ben Davies,wls WAL,DF,30-336,11.1,13,1.17,13,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Tottenham
120,Emerson,br BRA,DF,25-071,10.7,17,1.6,11,2,0,1,2,1,3,0.28,1,2,0,0,0,0,Tottenham
121,Rodrigo Bentancur,uy URU,MF,26-274,5.9,13,2.19,10,0,1,0,0,2,2,0.34,1,0,0,0,0,1,Tottenham
122,Pierre Højbjerg,dk DEN,MF,28-233,11.3,27,2.39,24,0,2,1,0,0,2,0.18,2,0,0,0,0,0,Tottenham
123,Timo Werner,de GER,FW,28-019,4.9,20,4.06,14,0,3,3,0,0,5,1.02,5,0,0,0,0,0,Tottenham
124,Oliver Skipp,eng ENG,"MF,FW",23-191,6.5,13,2.01,12,0,0,1,0,0,1,0.15,1,0,0,0,0,0,Tottenham
125,Giovani Lo Celso,ar ARG,MF,27-351,4.7,17,3.6,14,2,0,1,0,0,3,0.64,3,0,0,0,0,0,Tottenham
126,Manor Solomon,il ISR,FW,24-245,2.2,19,8.59,16,0,1,1,1,0,2,0.9,2,0,0,0,0,0,Tottenham
127,Bryan Gil,es ESP,"FW,MF",23-043,2.2,7,3.21,6,0,0,1,0,0,1,0.46,1,0,0,0,0,0,Tottenham
128,Eric Dier,eng ENG,DF,30-070,2.2,2,0.9,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
129,Radu Drăgușin,ro ROU,DF,22-051,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
130,Ivan Perišić,hr CRO,FW,35-052,1.1,8,6.99,6,1,1,0,0,0,2,1.75,1,1,0,0,0,0,Tottenham
131,Davinson Sánchez,co COL,DF,27-287,0.9,1,1.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Tottenham
132,Alejo Véliz,ar ARG,FW,20-188,0.6,1,1.84,0,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
133,Jamie Donley,eng ENG,FW,19-082,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
134,Dane Scarlett,eng ENG,FW,20-001,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Tottenham
135,André Onana,cm CMR,GK,27-358,28.0,5,0.18,5,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Manchester Utd
136,Bruno Fernandes,pt POR,"MF,FW",29-199,27.0,162,6.0,111,33,7,8,1,2,16,0.59,10,3,2,1,0,0,Manchester Utd
137,Diogo Dalot,pt POR,DF,25-007,25.3,55,2.18,47,2,2,2,1,1,5,0.2,4,0,0,1,0,0,Manchester Utd
138,Marcus Rashford,eng ENG,FW,26-146,22.1,76,3.44,47,1,15,7,6,0,9,0.41,7,0,1,0,1,0,Manchester Utd
139,Alejandro Garnacho,ar ARG,FW,19-268,19.6,82,4.17,56,0,8,8,9,1,11,0.56,6,0,1,1,2,1,Manchester Utd
140,Rasmus Højlund,dk DEN,FW,21-050,16.3,41,2.52,29,0,4,3,3,2,3,0.18,2,0,1,0,0,0,Manchester Utd
141,Casemiro,br BRA,MF,32-031,13.1,22,1.68,18,2,0,1,1,0,1,0.08,1,0,0,0,0,0,Manchester Utd
142,Scott McTominay,sct SCO,"MF,FW",27-108,16.4,21,1.28,15,0,1,4,0,1,2,0.12,1,0,0,0,0,1,Manchester Utd
143,Raphaël Varane,fr FRA,DF,30-335,14.0,14,1.0,11,1,0,2,0,0,1,0.07,1,0,0,0,0,0,Manchester Utd
144,Kobbie Mainoo,eng ENG,MF,18-341,12.3,21,1.71,16,0,3,2,0,0,4,0.33,1,0,2,1,0,0,Manchester Utd
145,Victor Lindelöf,se SWE,DF,29-252,14.0,18,1.28,18,0,0,0,0,0,3,0.21,3,0,0,0,0,0,Manchester Utd
146,Harry Maguire,eng ENG,DF,31-020,12.9,19,1.48,16,0,0,1,0,2,3,0.23,2,0,0,1,0,0,Manchester Utd
147,Jonny Evans,nir NIR,DF,36-082,12.1,9,0.75,9,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Manchester Utd
148,Luke Shaw,eng ENG,DF,28-257,10.7,23,2.16,13,9,1,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
149,Antony,br BRA,FW,24-030,10.6,36,3.4,31,0,1,0,3,1,1,0.09,0,0,0,0,0,1,Manchester Utd
150,Aaron Wan-Bissaka,eng ENG,DF,26-120,9.8,10,1.02,9,1,0,0,0,0,1,0.1,1,0,0,0,0,0,Manchester Utd
151,Christian Eriksen,dk DEN,MF,32-040,9.9,32,3.25,25,5,0,0,0,2,2,0.2,1,0,0,0,0,1,Manchester Utd
152,Sofyan Amrabat,ma MAR,"MF,DF",27-217,7.1,8,1.13,8,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
153,Lisandro Martínez,ar ARG,DF,26-067,6.2,7,1.13,6,0,0,0,0,1,1,0.16,1,0,0,0,0,0,Manchester Utd
154,Anthony Martial,fr FRA,FW,28-111,5.0,11,2.21,9,0,0,1,1,0,1,0.2,0,0,0,0,1,0,Manchester Utd
155,Sergio Reguilón,es ESP,DF,27-100,4.6,15,3.28,13,1,0,1,0,0,1,0.22,1,0,0,0,0,0,Manchester Utd
156,Mason Mount,eng ENG,MF,25-075,4.4,17,3.83,10,2,2,0,1,2,0,0.0,0,0,0,0,0,0,Manchester Utd
157,Facundo Pellistri,uy URU,"FW,MF",22-096,1.9,3,1.57,2,0,0,0,1,0,1,0.52,1,0,0,0,0,0,Manchester Utd
158,Hannibal Mejbri,tn TUN,"MF,FW",21-064,1.5,6,4.06,5,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Manchester Utd
159,Willy Kambwala,fr FRA,DF,19-213,1.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
160,Omari Forson,eng ENG,FW,19-249,0.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
161,Jadon Sancho,eng ENG,"FW,MF",24-000,0.9,4,4.62,1,1,0,0,1,1,1,1.15,0,1,0,0,0,0,Manchester Utd
162,Amad Diallo,ci CIV,FW,21-258,0.5,4,7.5,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
163,Donny van de Beek,nl NED,DF,26-342,0.0,1,30.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
164,Daniel Gore,eng ENG,MF,19-181,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Manchester Utd
165,Jarrod Bowen,eng ENG,FW,27-096,28.0,69,2.47,49,5,5,5,3,2,10,0.36,8,0,0,1,0,1,West Ham
166,Vladimír Coufal,cz CZE,DF,31-216,26.6,60,2.26,39,14,2,2,3,0,8,0.3,8,0,0,0,0,0,West Ham
167,James Ward-Prowse,eng ENG,MF,29-145,26.0,89,3.42,39,43,1,4,0,2,13,0.5,5,6,0,2,0,0,West Ham
168,Emerson Palmieri,it ITA,DF,29-235,26.2,52,1.99,37,3,3,2,5,2,7,0.27,4,1,1,0,1,0,West Ham
169,Alphonse Areola,fr FRA,GK,31-027,25.5,2,0.08,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
170,Tomáš Souček,cz CZE,MF,29-027,24.8,31,1.25,24,1,0,4,0,2,3,0.12,3,0,0,0,0,0,West Ham
171,Kurt Zouma,fr FRA,DF,29-150,23.2,11,0.47,9,0,0,1,1,0,2,0.09,2,0,0,0,0,0,West Ham
172,Edson Álvarez,mx MEX,MF,26-153,21.9,26,1.19,19,0,2,3,0,2,2,0.09,2,0,0,0,0,0,West Ham
173,Lucas Paquetá,br BRA,"FW,MF",26-211,20.4,67,3.28,53,0,7,2,5,0,12,0.59,10,0,2,0,0,0,West Ham
174,Nayef Aguerd,ma MAR,DF,27-361,19.6,14,0.71,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,West Ham
175,Kudus Mohammed,gh GHA,"FW,MF",23-236,18.7,67,3.59,39,0,11,7,10,0,11,0.59,5,0,2,3,1,0,West Ham
176,Michail Antonio,jm JAM,FW,33-363,11.4,23,2.02,15,0,3,1,2,2,5,0.44,4,0,1,0,0,0,West Ham
177,Konstantinos Mavropanos,gr GRE,DF,26-105,12.0,9,0.75,6,0,0,1,0,2,0,0.0,0,0,0,0,0,0,West Ham
178,Saïd Benrahma,dz ALG,"FW,MF",28-228,6.9,26,3.77,23,0,3,0,0,0,1,0.15,1,0,0,0,0,0,West Ham
179,Pablo Fornals,es ESP,"MF,FW",28-032,4.7,16,3.37,13,0,0,0,1,2,1,0.21,0,0,0,0,0,1,West Ham
180,Ben Johnson,eng ENG,"DF,FW",24-061,4.7,8,1.7,6,0,0,0,2,0,1,0.21,1,0,0,0,0,0,West Ham
181,Angelo Ogbonna,it ITA,DF,35-307,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
182,Łukasz Fabiański,pl POL,GK,38-342,3.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
183,Kalvin Phillips,eng ENG,MF,28-114,3.0,5,1.66,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
184,Aaron Cresswell,eng ENG,DF,34-101,2.7,9,3.35,4,3,0,0,2,0,1,0.37,1,0,0,0,0,0,West Ham
185,Danny Ings,eng ENG,FW,31-246,2.9,14,4.77,5,0,3,4,1,1,3,1.02,0,0,1,1,1,0,West Ham
186,Maxwel Cornet,ci CIV,"MF,FW",27-180,1.2,5,4.29,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,West Ham
187,Divin Mubama,eng ENG,FW,19-152,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
188,Thilo Kehrer,de GER,"DF,MF",27-186,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,West Ham
189,Pascal Groß,de GER,"MF,DF",32-284,24.6,137,5.57,82,40,5,7,2,1,16,0.65,9,2,4,1,0,0,Brighton
190,Lewis Dunk,eng ENG,DF,32-125,23.4,38,1.63,31,2,0,5,0,0,7,0.3,6,0,0,1,0,0,Brighton
191,Jan Paul van Hecke,nl NED,DF,23-291,21.3,33,1.55,32,0,0,1,0,0,3,0.14,3,0,0,0,0,0,Brighton
192,Billy Gilmour,sct SCO,MF,22-288,19.8,59,2.99,50,5,0,2,2,0,6,0.3,5,0,0,1,0,0,Brighton
