Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Team
773,Max Kilman,eng ENG,DF,26-307,28.0,2,10,5,50.0,0.36,0.18,0.2,0.4,8.9,0,0,0,1.6,1.6,0.16,0.4,0.4,Wolves
774,Nélson Semedo,pt POR,"DF,MF",30-130,26.1,0,13,3,23.1,0.5,0.12,0.0,0.0,20.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Wolves
775,José Sá,pt POR,GK,31-068,24.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Wolves
776,Craig Dawson,eng ENG,DF,33-324,24.5,1,16,5,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Wolves
777,Mario Lemina,ga GAB,MF,30-206,24.2,4,36,13,36.1,1.49,0.54,0.11,0.31,15.7,0,0,0,4.1,4.1,0.11,-0.1,-0.1,Wolves
778,Matheus Cunha,br BRA,"FW,MF",24-303,21.8,9,59,30,50.8,2.71,1.38,0.14,0.27,18.3,0,1,1,8.2,7.4,0.13,0.8,0.6,Wolves
779,João Gomes,br BRA,MF,23-042,20.2,2,18,5,27.8,0.89,0.25,0.11,0.4,20.0,0,0,0,1.1,1.1,0.06,0.9,0.9,Wolves
780,Toti Gomes,pt POR,DF,25-069,20.8,0,7,2,28.6,0.34,0.1,0.0,0.0,8.0,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Wolves
781,Rayan Aït-Nouri,dz ALG,"DF,MF",22-293,18.9,1,15,3,20.0,0.79,0.16,0.07,0.33,15.9,0,0,0,1.9,1.9,0.13,-0.9,-0.9,Wolves
782,Hwang Hee-chan,kr KOR,"FW,MF",28-059,18.0,10,35,12,34.3,1.94,0.67,0.26,0.75,12.6,0,1,1,6.3,5.6,0.16,3.7,3.4,Wolves
783,Pedro Neto,pt POR,"FW,MF",24-016,16.7,2,35,11,31.4,2.1,0.66,0.06,0.18,16.5,2,0,0,3.4,3.4,0.1,-1.4,-1.4,Wolves
784,Pablo Sarabia,es ESP,"MF,FW",31-319,14.1,3,34,11,32.4,2.4,0.78,0.06,0.18,18.9,5,1,1,3.6,2.8,0.08,-0.6,-0.8,Wolves
785,Jean-Ricner Bellegarde,fr FRA,"MF,FW",25-272,9.0,2,14,5,35.7,1.56,0.56,0.14,0.4,17.2,0,0,0,1.4,1.4,0.1,0.6,0.6,Wolves
786,Tommy Doyle,eng ENG,MF,22-160,9.0,0,7,2,28.6,0.77,0.22,0.0,0.0,27.2,2,0,0,0.2,0.2,0.04,-0.2,-0.2,Wolves
