Player,Tkl,TklW,Tkl.1,Tkl%,Lost,Blocks,Pass,Int,Tkl+Int,Clr,Err,Team,SCA,SCA90,PassLive,PassDead,TO,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Cmp,Cmp%,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Touches,Def Pen,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,PrgC,CPA,Mis,Dis,Rec,PrgR,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Nation,Pos,Age,90s,Def 3rd,Mid 3rd,Att 3rd,TotDist,PrgDist,1/3,Country
Vladimír Coufal,52,35,32,56.1,25,32,23,36,88,80,0,West Ham,60,2.26,39,14,2,3,0,8,0.3,8,0,0,0,0,0,891,68.6,464,520,89.2,348,487,71.5,59,198,29.8,7,3.2,2.4,3.8,28,33,18,100,1575,123,21,1575,28,10,35.7,12,42.9,694,56,4,24,9,793,105,0,4,1,25,0.15,0.04,0,0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,CZE,DF,31,26.6,42,8,2,14389,7237,78,Czech Republic
James Ward-Prowse,34,23,12,41.4,17,23,16,29,63,42,0,West Ham,89,3.42,39,43,1,0,2,13,0.5,5,6,0,2,0,0,1087,82.5,549,596,92.1,407,449,90.6,105,216,48.6,7,5.9,5.6,1.1,54,16,5,103,1522,61,28,1520,19,11,57.9,6,31.6,716,17,6,13,9,903,57,5,30,11,36.7,1.15,0.42,0.1,0.27,21.9,10,2,2,5.5,3.9,0.14,-0.5,-0.9,ENG,MF,29,26,12,17,5,18212,5497,109,United Kingdom
Emerson Palmieri,78,52,42,67.7,20,35,27,31,109,74,0,West Ham,52,1.99,37,3,3,5,2,7,0.27,4,1,1,0,1,0,1061,81.2,674,749,90,305,386,79,34,64,53.1,2,2.2,1.9,-0.2,20,18,7,91,1620,124,33,1620,44,18,40.9,21,47.7,809,47,9,26,10,925,90,1,15,3,20,0.57,0.11,0.07,0.33,18.6,0,0,0,1.1,1.1,0.07,-0.1,-0.1,ITA,DF,29,26.2,33,33,12,14321,5703,67,Italy
Alphonse Areola,1,1,1,33.3,2,0,0,1,2,13,0,West Ham,2,0.08,1,1,0,0,0,0,0,0,0,0,0,0,0,481,65.4,61,63,96.8,214,215,99.5,204,452,45.1,0,0,0,0,0,0,0,1,825,699,0,825,1,1,100,0,0,418,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRA,GK,31,25.5,1,0,0,15233,11106,7,France
Tomáš Souček,36,26,15,42.9,20,41,18,33,69,80,0,West Ham,31,1.25,24,1,0,0,2,3,0.12,3,0,0,0,0,0,541,73.7,288,353,81.6,190,249,76.3,36,63,57.1,1,0.7,0.7,0.3,8,4,1,66,1023,137,59,1023,7,2,28.6,5,71.4,415,6,2,13,10,530,33,6,36,12,33.3,1.45,0.48,0.17,0.5,10.5,0,0,0,6,6,0.17,0,0,CZE,MF,29,24.8,14,20,2,8297,2464,60,Czech Republic
Kurt Zouma,14,10,4,57.1,3,29,9,21,35,120,0,West Ham,11,0.47,9,0,0,1,0,2,0.09,2,0,0,0,0,0,716,82.5,245,270,90.7,388,430,90.2,77,145,53.1,0,0.1,0.1,-0.1,2,1,0,43,1096,196,20,1096,0,0,0,0,0,597,5,1,10,1,645,0,2,14,6,42.9,0.6,0.26,0.14,0.33,9.2,0,0,0,1.5,1.5,0.11,0.5,0.5,FRA,DF,29,23.2,8,6,0,13921,4980,39,France
Edson Álvarez,65,32,25,50,25,48,30,31,96,72,0,West Ham,26,1.19,19,0,2,0,2,2,0.09,2,0,0,0,0,0,863,85.6,425,469,90.6,343,379,90.5,71,112,63.4,1,0.4,0.6,0.6,9,4,0,71,1332,134,13,1332,31,21,67.7,9,29,736,17,1,29,20,788,21,1,17,3,17.6,0.78,0.14,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3,MEX,MF,26,21.9,40,21,4,14287,4309,69,Mexico
Lucas Paquetá,52,37,21,50,21,23,23,15,67,21,1,West Ham,67,3.28,53,0,7,5,0,12,0.59,10,0,2,0,0,0,770,73.5,421,503,83.7,241,312,77.2,67,124,54,5,4.2,3.8,0.8,32,34,4,135,1324,28,47,1323,59,31,52.5,23,39,811,25,8,48,57,981,85,3,32,7,21.9,1.57,0.34,0.06,0.29,17.8,1,1,1,4.2,3.4,0.11,-1.2,-1.4,BRA,"FW,MF",26,20.4,27,20,5,11771,4141,95,Brazil
Nayef Aguerd,23,12,14,73.7,5,31,8,17,40,82,2,West Ham,14,0.71,12,1,0,0,0,0,0,0,0,0,0,0,0,877,79.5,312,333,93.7,415,453,91.6,137,290,47.2,0,0.2,0.4,-0.2,3,2,0,64,1287,180,19,1287,4,2,50,2,50,808,10,0,9,2,849,3,1,14,3,21.4,0.71,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5,MAR,DF,27,19.6,17,6,0,18574,8383,69,Morocco
Kudus Mohammed,45,34,18,60,12,21,21,5,50,7,1,West Ham,67,3.59,39,0,11,10,0,11,0.59,5,0,2,3,1,0,468,77.2,245,273,89.7,165,204,80.9,44,70,62.9,3,2.5,2.6,0.5,20,21,10,61,912,15,66,912,141,77,54.6,47,33.3,624,82,26,59,61,645,147,6,44,12,27.3,2.36,0.64,0.14,0.5,18.7,0,0,0,3.4,3.4,0.08,2.6,2.6,GHA,"FW,MF",23,18.7,17,20,8,7682,1197,20,Ghana
Michail Antonio,10,6,3,42.9,4,12,9,2,12,1,0,West Ham,23,2.02,15,0,3,2,2,5,0.44,4,0,1,0,0,0,105,55.9,67,94,71.3,26,52,50,7,15,46.7,2,0.9,1.2,1.1,8,6,2,12,316,4,37,316,34,20,58.8,11,32.4,210,31,13,45,20,239,59,3,16,6,37.5,1.41,0.53,0.19,0.5,12.6,0,0,0,2.5,2.5,0.16,0.5,0.5,JAM,FW,33,11.4,3,4,3,1522,397,7,Jamaica
Konstantinos Mavropanos,22,12,13,81.3,3,16,8,20,42,62,1,West Ham,9,0.75,6,0,0,0,2,0,0,0,0,0,0,0,0,338,73.6,115,136,84.6,182,214,85,34,91,37.4,0,0.2,0.1,-0.2,2,1,0,22,604,77,16,604,4,1,25,2,50,277,8,1,5,0,292,1,1,10,1,10,0.83,0.08,0.1,1,9.1,0,0,0,1.1,1.1,0.11,-0.1,-0.1,GRE,DF,26,12,12,8,2,6584,2717,21,Greece
Saïd Benrahma,8,4,4,26.7,11,8,8,5,13,7,0,West Ham,26,3.77,23,0,3,0,0,1,0.15,1,0,0,0,0,0,193,75.1,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,2,28,355,11,35,354,38,14,36.8,21,55.3,238,28,15,14,8,245,70,0,18,5,27.8,2.61,0.73,0,0,19.8,0,0,1,1.8,1,0.06,-1.8,-1,ALG,"FW,MF",28,6.9,5,3,0,2587,504,11,Algeria
Pablo Fornals,10,6,5,31.3,11,8,7,6,16,7,0,West Ham,16,3.37,13,0,0,1,2,1,0.21,0,0,0,0,0,1,162,77.1,83,96,86.5,60,75,80,12,20,60,0,0.3,0.3,-0.3,5,6,1,29,277,7,20,277,12,6,50,5,41.7,156,4,2,8,8,176,27,0,7,3,42.9,1.48,0.63,0,0,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ESP,"MF,FW",28,4.7,4,3,3,2602,713,19,Spain
Ben Johnson,9,6,8,72.7,3,1,0,5,14,8,0,West Ham,8,1.7,6,0,0,2,0,1,0.21,1,0,0,0,0,0,169,73.2,103,111,92.8,53,80,66.3,10,24,41.7,0,0,0.1,0,0,0,0,12,289,15,3,289,18,7,38.9,9,50,157,10,1,3,7,166,23,0,5,1,20,1.06,0.21,0,0,25.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ENG,"DF,FW",24,4.7,6,2,1,2549,1016,13,United Kingdom
Angelo Ogbonna,3,1,2,100,0,10,2,2,5,18,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,87.6,24,25,96,45,46,97.8,7,15,46.7,0,0,0,0,0,0,0,3,120,32,0,120,1,1,100,0,0,60,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ITA,DF,35,3.6,3,0,0,1521,477,4,Italy
Łukasz Fabiański,1,0,1,100,0,0,0,1,2,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,67,7,7,100,39,39,100,25,59,42.4,0,0,0,0,0,0,0,1,113,94,0,113,0,0,0,0,0,64,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POL,GK,38,3.5,1,0,0,2146,1458,2,Poland
Aaron Cresswell,1,0,1,50,1,3,1,2,3,4,0,West Ham,9,3.35,4,3,0,2,0,1,0.37,1,0,0,0,0,0,135,81.8,85,91,93.4,32,45,71.1,13,23,56.5,0,0.3,0.3,-0.3,4,2,0,16,176,11,0,176,1,0,0,1,100,90,3,0,0,1,108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,DF,34,2.7,1,0,0,2117,894,8,United Kingdom
Danny Ings,5,2,3,33.3,6,4,3,2,7,6,0,West Ham,14,4.77,5,0,3,1,1,3,1.02,0,0,1,1,1,0,43,62.3,22,30,73.3,11,14,78.6,0,7,0,0,0.3,0.1,-0.3,5,2,0,4,111,7,16,111,9,5,55.6,3,33.3,63,6,3,6,2,66,13,1,9,3,33.3,3.07,1.02,0.11,0.33,13.4,0,0,0,1.1,1.1,0.13,-0.1,-0.1,ENG,FW,31,2.9,0,5,0,478,91,0,United Kingdom
Maxwel Cornet,3,2,1,20,4,0,0,1,4,1,0,West Ham,5,4.29,4,0,0,0,0,0,0,0,0,0,0,0,0,28,71.8,22,27,81.5,5,7,71.4,0,1,0,0,0.2,0,-0.2,4,0,0,2,54,1,8,54,2,0,0,1,50,31,3,2,1,3,34,7,1,4,1,25,3.43,0.86,0.25,1,12.5,0,0,0,0.4,0.4,0.1,0.6,0.6,CIV,"MF,FW",27,1.2,3,0,0,346,67,0,Ivory Coast
Divin Mubama,0,0,0,0,0,0,0,0,0,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,72.7,12,16,75,2,3,66.7,1,1,100,0,0,0,0,0,0,0,0,32,0,1,32,0,0,0,0,0,18,0,0,6,0,24,5,0,1,0,0,1.13,0,0,0,12.5,0,0,0,0.1,0.1,0.15,-0.1,-0.1,ENG,FW,19,0.9,0,0,0,200,15,0,United Kingdom
Thilo Kehrer,1,1,0,0,0,2,0,0,1,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,7,7,100,1,1,100,0,0,0,0,0,0,0,0,0,0,1,12,2,0,12,0,0,0,0,0,3,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GER,"DF,MF",27,0.2,0,1,0,86,36,0,Germany
Pascal Groß,51,33,21,43.8,27,32,26,17,68,23,3,Brighton,137,5.57,82,40,5,2,1,16,0.65,9,2,4,1,0,0,1998,85.5,1112,1182,94.1,672,763,88.1,148,277,53.4,10,6.8,7.1,3.2,76,58,20,222,2581,91,57,2580,28,16,57.1,11,39.3,1683,60,7,26,24,1991,133,4,44,15,34.1,1.79,0.61,0.07,0.2,19.5,4,1,1,5.3,4.6,0.1,-1.3,-1.6,GER,"MF,DF",32,24.6,23,16,12,31264,9624,177,Germany
Lewis Dunk,20,10,8,28.6,20,36,8,19,39,53,1,Brighton,38,1.63,31,2,0,0,0,7,0.3,6,0,0,1,0,0,2330,92,1059,1091,97.1,1045,1110,94.1,178,267,66.7,1,0.8,2.1,0.2,11,8,1,131,2701,365,45,2701,5,3,60,1,20,1952,29,1,7,1,2132,11,3,29,9,31,1.24,0.38,0.1,0.33,13.7,4,0,0,2.9,2.9,0.1,0.1,0.1,ENG,DF,32,23.4,12,7,1,40127,15066,177,United Kingdom
Jan Paul van Hecke,37,22,22,59.5,15,39,19,26,63,65,4,Brighton,33,1.55,32,0,0,0,0,3,0.14,3,0,0,0,0,0,1945,92.8,820,864,94.9,962,1019,94.4,127,164,77.4,0,0.8,1,-0.8,8,9,1,137,2310,276,18,2310,7,4,57.1,2,28.6,1683,23,2,16,3,1814,7,0,13,6,46.2,0.61,0.28,0,0,10.2,0,0,0,1.1,1.1,0.09,-1.1,-1.1,NED,DF,23,21.3,19,15,3,33609,13175,138,Netherlands
Billy Gilmour,21,14,9,30,21,21,13,8,29,14,1,Brighton,59,2.99,50,5,0,2,0,6,0.3,5,0,0,1,0,0,1649,91.2,892,925,96.4,615,663,92.8,88,143,61.5,1,2,2.1,-1,20,28,2,165,1963,58,11,1963,20,6,30,12,60,1195,33,0,25,7,1620,32,0,23,5,21.7,1.16,0.25,0,0,25.7,0,0,0,0.9,0.9,0.04,-0.9,-0.9,SCO,MF,22,19.8,13,6,2,25332,6471,156,United Kingdom
Simon Adingra,22,12,11,37.9,18,16,15,12,34,10,0,Brighton,48,2.99,31,1,8,1,2,4,0.25,3,0,0,0,0,1,425,75.1,269,328,82,129,172,75,16,26,61.5,1,2.3,1.7,-1.3,20,23,8,32,760,17,97,760,83,34,41,43,51.8,508,72,40,30,19,526,199,6,33,15,45.5,2.05,0.93,0.18,0.4,16.1,0,0,0,3.1,3.1,0.1,2.9,2.9,CIV,FW,22,16.1,12,5,5,6033,1085,9,Ivory Coast
Kaoru Mitoma,13,6,5,26.3,14,15,14,5,18,12,0,Brighton,62,3.76,47,0,10,2,0,10,0.61,6,0,3,1,0,0,509,78.3,357,413,86.4,110,153,71.9,9,24,37.5,4,2.7,3.6,1.3,25,34,5,64,852,17,136,852,94,39,41.5,44,46.8,616,121,62,38,15,677,239,3,34,15,44.1,2.06,0.91,0.09,0.2,13.2,0,0,0,3.5,3.5,0.1,-0.5,-0.5,JPN,FW,26,16.5,3,7,3,6210,1486,23,Japan
Evan Ferguson,14,6,5,35.7,9,10,7,2,16,7,0,Brighton,22,1.46,15,0,2,3,1,1,0.07,0,0,0,0,1,0,244,80.5,156,180,86.7,54,63,85.7,11,15,73.3,0,0.5,0.8,-0.5,6,4,0,15,447,12,45,447,16,7,43.8,6,37.5,286,13,5,40,31,336,62,6,33,20,60.6,2.19,1.32,0.18,0.3,15.5,0,0,0,4.6,4.6,0.14,1.4,1.4,IRL,FW,19,15.1,4,7,3,3028,349,11,Ireland
Jason Steele,0,0,0,0,3,0,0,0,0,7,1,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,83.6,163,164,99.4,234,239,97.9,102,193,52.8,0,0,0,0,0,0,0,0,639,567,0,639,0,0,0,0,0,442,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,GK,33,15,0,0,0,10946,7450,3,United Kingdom
Danny Welbeck,17,8,6,54.5,5,10,10,5,22,14,1,Brighton,40,3.5,27,0,2,3,0,6,0.53,3,0,0,1,2,0,278,85,204,228,89.5,58,64,90.6,0,1,0,1,1.3,1.1,-0.3,11,8,0,28,464,16,45,464,18,6,33.3,11,61.1,280,20,7,28,13,336,64,3,28,12,42.9,2.45,1.05,0.11,0.25,15.8,1,0,0,3.6,3.6,0.13,-0.6,-0.6,ENG,"FW,MF",33,11.4,4,9,4,3169,428,15,United Kingdom
Bart Verbruggen,1,1,1,100,0,0,0,0,1,4,3,Brighton,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,510,92.1,212,215,98.6,217,220,98.6,75,112,67,0,0,0,0,0,0,0,2,576,490,0,576,1,1,100,0,0,416,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NED,GK,21,13,1,0,0,9826,6636,1,Netherlands
João Pedro,23,13,9,52.9,8,10,9,9,32,23,0,Brighton,61,3.95,40,0,5,8,1,9,0.58,4,0,2,1,2,0,448,79.7,286,325,88,125,158,79.1,14,27,51.9,2,2.3,2.9,-0.3,20,31,1,64,814,24,121,810,70,28,40,28,40,558,54,31,49,51,653,152,8,44,15,34.1,2.84,0.97,0.09,0.27,15,0,4,4,8.4,5.2,0.12,-0.4,-1.2,BRA,"FW,MF",22,15.5,7,11,5,5880,1229,32,Brazil
Pervis Estupiñán,20,9,10,41.7,14,12,10,18,38,17,0,Brighton,39,3.33,34,3,1,0,0,2,0.17,2,0,0,0,0,0,706,84.1,414,456,90.8,241,278,86.7,29,55,52.7,3,3.4,2.3,-0.4,25,24,10,74,962,42,36,962,20,8,40,8,40,611,41,13,17,6,647,76,2,10,6,60,0.86,0.51,0.2,0.33,18.8,0,0,0,0.9,0.9,0.09,1.1,1.1,ECU,DF,26,11.7,8,10,2,10354,3274,58,Ecuador
Facundo Buonanotte,31,16,10,35.7,18,18,15,5,36,4,0,Brighton,32,3.06,22,1,1,5,1,2,0.19,2,0,0,0,0,0,273,82.7,185,214,86.4,59,69,85.5,7,10,70,1,1.7,0.9,-0.7,16,9,0,25,473,15,30,473,36,9,25,23,63.9,289,13,6,29,24,339,50,3,16,6,37.5,1.53,0.57,0.19,0.5,16.9,0,0,0,1.9,1.9,0.12,1.1,1.1,ARG,"MF,FW",19,10.5,8,18,5,3343,573,16,Argentina
Joël Veltman,31,25,20,60.6,13,15,8,14,45,41,1,Brighton,15,1.19,10,2,0,3,0,1,0.08,1,0,0,0,0,0,622,84.7,301,334,90.1,278,313,88.8,38,66,57.6,1,0.4,0.5,0.6,3,3,0,71,873,66,12,873,8,1,12.5,4,50,497,20,0,13,4,534,39,0,2,2,100,0.16,0.16,0,0,20.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1,NED,DF,32,12.6,15,12,4,10116,2580,47,Netherlands
Igor,17,11,10,55.6,8,13,7,9,26,31,0,Brighton,17,1.53,15,1,1,0,0,2,0.18,2,0,0,0,0,0,928,93.1,445,464,95.9,435,452,96.2,33,45,73.3,0,0.3,0.2,-0.3,4,1,0,77,1097,66,4,1097,15,10,66.7,4,26.7,707,19,0,9,5,803,6,0,2,0,0,0.18,0,0,0,16.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,BRA,DF,26,11.1,4,11,2,14662,4381,74,Brazil
James Milner,20,14,9,64.3,5,9,9,8,28,16,0,Brighton,24,2.79,20,4,0,0,0,2,0.23,0,2,0,0,0,0,492,84.1,269,297,90.6,181,210,86.2,27,46,58.7,2,1.8,1.7,0.2,16,17,6,69,675,25,17,675,8,3,37.5,4,50,395,11,4,11,6,457,73,0,5,1,20,0.58,0.12,0,0,17.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,ENG,"DF,MF",38,8.6,9,10,1,7622,2496,46,United Kingdom
Adam Lallana,7,2,0,0,3,2,1,2,9,1,0,Brighton,19,2.57,18,0,0,1,0,1,0.14,1,0,0,0,0,0,360,90,257,275,93.5,62,70,88.6,6,6,100,1,1.6,1.7,-0.6,12,10,1,29,450,4,31,450,10,3,30,6,60,286,6,2,11,13,384,44,0,5,2,40,0.68,0.27,0,0,18.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3,ENG,MF,35,7.4,3,4,0,3946,827,16,United Kingdom
Adam Webster,11,11,6,40,9,7,3,9,20,30,1,Brighton,9,1.06,8,0,0,0,0,0,0,0,0,0,0,0,0,764,91.4,335,360,93.1,374,400,93.5,38,52,73.1,0,0.1,0.3,-0.1,4,2,0,65,903,71,8,903,1,0,0,1,100,615,11,0,4,1,692,2,0,5,0,0,0.59,0,0,0,10.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,ENG,DF,29,8.5,8,2,1,12752,4230,70,United Kingdom
Carlos Baleba,27,14,15,53.6,13,18,14,12,39,19,2,Brighton,10,1.18,10,0,0,0,0,0,0,0,0,0,0,0,0,445,92.3,234,252,92.9,180,188,95.7,18,21,85.7,0,0.2,0.1,-0.2,6,1,0,33,596,36,3,596,15,9,60,3,20,362,6,0,9,12,414,5,0,12,2,16.7,1.41,0.24,0,0,23.9,0,0,0,0.6,0.6,0.05,-0.6,-0.6,CMR,MF,20,8.5,12,12,3,6745,1501,19,Cameroon
Jack Hinshelwood,14,5,5,38.5,8,6,4,14,28,18,0,Brighton,14,1.45,11,0,0,0,0,0,0,0,0,0,0,0,0,418,83.9,233,267,87.3,156,175,89.1,9,22,40.9,0,0.7,0.4,-0.7,8,5,1,19,590,26,30,590,5,0,0,4,80,331,16,1,9,2,381,38,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,1.1,1.1,ENG,DF,18,9.7,7,4,3,5999,1172,24,United Kingdom
Tariq Lamptey,10,8,4,33.3,8,4,2,5,15,2,0,Brighton,9,1.37,8,0,1,0,0,3,0.46,3,0,0,0,0,0,276,83.4,154,172,89.5,97,119,81.5,12,19,63.2,3,0.6,0.4,2.4,5,6,2,14,388,11,17,388,13,6,46.2,6,46.2,263,26,10,15,2,279,47,0,5,0,0,0.76,0,0,0,19.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,GHA,"DF,FW",23,6.6,6,3,1,4004,626,6,Ghana
Solly March,19,14,8,57.1,6,5,5,11,30,8,0,Brighton,22,3.57,8,8,2,2,1,2,0.32,0,1,0,0,1,0,203,77.8,118,139,84.9,62,78,79.5,17,27,63,1,1,1,0,7,7,0,24,336,12,18,336,18,8,44.4,8,44.4,198,14,3,8,10,211,44,3,14,6,42.9,2.27,0.97,0.21,0.5,16.6,1,0,0,2,2,0.14,1,1,ENG,"FW,DF",29,6.2,9,7,3,3145,899,10,United Kingdom
Mahmoud Dahoud,9,4,3,33.3,6,4,3,1,10,5,0,Brighton,13,2.59,13,0,0,0,0,2,0.4,2,0,0,0,0,0,284,86.6,169,176,96,84,99,84.8,16,25,64,1,0.9,0.4,0.1,10,1,1,11,368,12,4,368,5,2,40,3,60,239,4,1,6,5,303,6,0,6,1,16.7,1.19,0.2,0,0,26.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,GER,MF,28,5,2,4,3,4011,886,21,Germany
Ansu Fati,4,2,1,9.1,10,7,7,3,7,3,0,Brighton,20,3.77,14,0,1,0,0,3,0.56,2,0,0,1,0,0,152,84,100,106,94.3,34,43,79.1,9,10,90,0,0.8,0.5,-0.8,6,5,0,25,260,4,36,260,13,5,38.5,6,46.2,183,14,9,14,8,205,40,2,23,10,43.5,4.35,1.89,0.09,0.2,14.3,0,0,0,3.3,3.3,0.14,-1.3,-1.3,ESP,"MF,FW",21,5.3,1,2,1,1978,475,13,Spain
Julio Enciso,0,0,0,0,2,2,2,0,0,0,0,Brighton,9,5.47,4,0,4,0,0,2,1.22,2,0,0,0,0,0,35,67.3,25,30,83.3,8,14,57.1,1,2,50,2,0.8,0.6,1.2,3,0,0,0,77,0,9,77,16,10,62.5,4,25,65,7,5,3,2,64,12,0,10,3,30,6.12,1.84,0,0,21.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,PAR,"MF,FW",20,1.6,0,0,0,406,93,1,Paraguay
Jakub Moder,9,5,6,75,2,3,3,1,10,5,0,Brighton,6,2.44,5,0,0,0,0,1,0.41,1,0,0,0,0,0,97,78.2,70,75,93.3,22,33,66.7,1,5,20,0,0.1,0.2,-0.1,2,1,0,5,160,6,6,160,3,0,0,2,66.7,95,4,1,5,4,108,11,0,4,1,25,1.63,0.41,0,0,11.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,POL,"MF,DF",24,2.5,3,3,3,1150,257,5,Poland
Benicio Boaitey,0,0,0,0,0,0,0,0,0,2,0,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,64.3,6,9,66.7,3,4,75,0,0,0,0,0,0,0,0,0,0,1,21,1,0,21,1,1,100,0,0,12,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ENG,"DF,FW",20,0.2,0,0,0,124,19,0,United Kingdom
Max Kilman,33,17,18,75,6,45,23,29,62,131,2,Wolves,25,0.89,23,0,2,0,0,0,0,0,0,0,0,0,0,1372,84.1,558,598,93.3,664,729,91.1,138,273,50.5,0,0.7,0.9,-0.7,11,10,1,93,1919,293,17,1919,12,8,66.7,1,8.3,1150,21,1,5,8,1312,3,2,10,5,50,0.36,0.18,0.2,0.4,8.9,0,0,0,1.6,1.6,0.16,0.4,0.4,ENG,DF,26,28,28,4,1,25628,9314,87,United Kingdom
Nélson Semedo,62,40,29,59.2,20,32,24,27,89,67,0,Wolves,39,1.5,29,0,3,4,2,1,0.04,0,0,0,0,0,1,1069,78.2,637,712,89.5,354,453,78.1,49,118,41.5,1,1.1,1.1,-0.1,16,22,8,110,1655,104,26,1655,67,37,55.2,23,34.3,917,79,10,42,25,978,113,0,13,3,23.1,0.5,0.12,0,0,20.3,0,0,0,0.9,0.9,0.07,-0.9,-0.9,POR,"DF,MF",30,26.1,39,15,8,15554,5299,82,Portugal
José Sá,0,0,0,0,1,3,3,0,0,14,5,Wolves,2,0.08,2,0,0,0,0,0,0,0,0,0,0,0,0,506,65.3,133,136,97.8,250,256,97.7,117,373,31.4,0,0,0,0,0,0,0,0,840,730,0,840,3,3,100,0,0,484,0,1,0,1,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POR,GK,31,24.7,0,0,0,12265,8111,7,Portugal
Craig Dawson,30,20,22,64.7,12,51,12,16,46,120,1,Wolves,12,0.49,8,0,0,0,1,1,0.04,0,0,0,1,0,0,1104,86.5,296,333,88.9,640,679,94.3,158,237,66.7,1,1.4,0.6,-0.4,9,2,0,49,1529,292,34,1529,3,3,100,0,0,896,1,0,5,2,997,4,1,16,5,31.3,0.65,0.2,0.06,0.2,11.2,0,0,0,1.5,1.5,0.09,-0.5,-0.5,ENG,DF,33,24.5,23,6,1,23417,8062,52,United Kingdom
Mario Lemina,68,47,15,48.4,16,24,19,35,103,55,0,Wolves,37,1.53,32,0,0,1,0,4,0.17,3,0,0,0,1,0,836,84.3,462,514,89.9,293,345,84.9,61,92,66.3,0,0.8,0.7,-0.8,12,4,1,58,1257,93,42,1257,30,16,53.3,13,43.3,651,25,1,25,17,802,39,4,36,13,36.1,1.49,0.54,0.11,0.31,15.7,0,0,0,4.1,4.1,0.11,-0.1,-0.1,GAB,MF,30,24.2,36,23,9,13136,3466,44,Gabon
Matheus Cunha,24,11,10,33.3,20,23,16,13,37,16,1,Wolves,67,3.07,40,0,11,7,2,11,0.5,7,0,1,1,1,1,502,78.8,319,369,86.4,134,169,79.3,24,44,54.5,6,3.1,2.4,2.9,25,25,1,60,944,22,100,943,110,52,47.3,46,41.8,572,93,30,62,41,671,108,9,59,30,50.8,2.71,1.38,0.14,0.27,18.3,0,1,1,8.2,7.4,0.13,0.8,0.6,BRA,"FW,MF",24,21.8,6,15,3,6696,1707,40,Brazil
João Gomes,83,47,30,44.8,37,42,38,17,100,19,2,Wolves,45,2.23,35,1,1,1,4,4,0.2,3,0,0,1,0,0,698,81.6,400,453,88.3,231,272,84.9,33,64,51.6,1,1,1.2,0,14,16,5,73,1092,43,19,1092,30,17,56.7,10,33.3,552,13,1,29,27,647,21,2,18,5,27.8,0.89,0.25,0.11,0.4,20,0,0,0,1.1,1.1,0.06,0.9,0.9,BRA,MF,23,20.2,47,29,7,10227,2890,46,Brazil
